Date_of_Journey,Airline,Source,Destination,Product,Customer,Booking
2021-06-02,FlyDubai,Chennai,Dubai,Business,First Flyer,26.829201206907737
2021-06-03,FlyDubai,Chennai,Dubai,Business,First Flyer,24.195114767378147
2021-06-04,FlyDubai,Chennai,Dubai,Business,First Flyer,25.40009731540114
2021-06-05,FlyDubai,Chennai,Dubai,Business,First Flyer,25.784777717037137
2021-06-06,FlyDubai,Chennai,Dubai,Business,First Flyer,27.302994698666755
2021-06-07,FlyDubai,Chennai,Dubai,Business,First Flyer,26.3413740403485
2021-06-08,FlyDubai,Chennai,Dubai,Business,First Flyer,27.205991935464677
2021-06-09,FlyDubai,Chennai,Dubai,Business,First Flyer,26.87872933214073
2021-06-10,FlyDubai,Chennai,Dubai,Business,First Flyer,24.244642892611065
2021-06-11,FlyDubai,Chennai,Dubai,Business,First Flyer,25.449625440638837
2021-06-12,FlyDubai,Chennai,Dubai,Business,First Flyer,25.83430584227689
2021-06-13,FlyDubai,Chennai,Dubai,Business,First Flyer,27.352522823903342
2021-06-14,FlyDubai,Chennai,Dubai,Business,First Flyer,26.39090216523394
2021-06-15,FlyDubai,Chennai,Dubai,Business,First Flyer,27.255520059994886
2021-06-16,FlyDubai,Chennai,Dubai,Business,First Flyer,26.928257456313958
2021-06-17,FlyDubai,Chennai,Dubai,Business,First Flyer,24.29417101644224
2021-06-18,FlyDubai,Chennai,Dubai,Business,First Flyer,25.499153564105796
2021-06-19,FlyDubai,Chennai,Dubai,Business,First Flyer,25.883833965395013
2021-06-20,FlyDubai,Chennai,Dubai,Business,First Flyer,27.402050946670116
2021-06-21,FlyDubai,Chennai,Dubai,Business,First Flyer,26.440430287999874
2021-06-22,FlyDubai,Chennai,Dubai,Business,First Flyer,27.305048182761986
2021-06-23,FlyDubai,Chennai,Dubai,Business,First Flyer,26.977785579082692
2021-06-24,FlyDubai,Chennai,Dubai,Business,First Flyer,24.343699139205338
2021-06-25,FlyDubai,Chennai,Dubai,Business,First Flyer,25.54868168687178
2021-06-26,FlyDubai,Chennai,Dubai,Business,First Flyer,25.933362088526753
2021-06-27,FlyDubai,Chennai,Dubai,Business,First Flyer,27.451579070162605
2021-06-28,FlyDubai,Chennai,Dubai,Business,First Flyer,26.489958411857764
2021-06-29,FlyDubai,Chennai,Dubai,Business,First Flyer,27.354576306984452
2021-06-30,FlyDubai,Chennai,Dubai,Business,First Flyer,27.027313703671965
2021-07-01,FlyDubai,Chennai,Dubai,Business,First Flyer,24.393227264163286
2021-07-02,FlyDubai,Chennai,Dubai,Business,First Flyer,25.59820981219843
2021-07-03,FlyDubai,Chennai,Dubai,Business,First Flyer,25.982890213847075
