Date_of_Journey,Airline,Source,Destination,Product,Customer,Revenue
2021-10-10,FlyDubai,Chennai,Dubai,Business,First Flyer,348061.0859083037
2021-10-11,FlyDubai,Chennai,Dubai,Business,First Flyer,336189.8785769103
2021-10-12,FlyDubai,Chennai,Dubai,Business,First Flyer,346863.5861876681
2021-10-13,FlyDubai,Chennai,Dubai,Business,First Flyer,342823.5290452127
2021-10-14,FlyDubai,Chennai,Dubai,Business,First Flyer,310305.7316448086
2021-10-15,FlyDubai,Chennai,Dubai,Business,First Flyer,325181.2408956375
2021-10-16,FlyDubai,Chennai,Dubai,Business,First Flyer,329930.1201494437
2021-10-17,FlyDubai,Chennai,Dubai,Business,First Flyer,348672.5084831884
2021-10-18,FlyDubai,Chennai,Dubai,Business,First Flyer,336801.30115178466
2021-10-19,FlyDubai,Chennai,Dubai,Business,First Flyer,347475.0087625567
2021-10-20,FlyDubai,Chennai,Dubai,Business,First Flyer,343434.95162013086
2021-10-21,FlyDubai,Chennai,Dubai,Business,First Flyer,310917.15421987645
2021-10-22,FlyDubai,Chennai,Dubai,Business,First Flyer,325792.66347084235
2021-10-23,FlyDubai,Chennai,Dubai,Business,First Flyer,330541.54272477515
2021-10-24,FlyDubai,Chennai,Dubai,Business,First Flyer,349283.9310585717
2021-10-25,FlyDubai,Chennai,Dubai,Business,First Flyer,337412.7237272921
2021-10-26,FlyDubai,Chennai,Dubai,Business,First Flyer,348086.43133814837
2021-10-27,FlyDubai,Chennai,Dubai,Business,First Flyer,344046.37419573485
2021-10-28,FlyDubai,Chennai,Dubai,Business,First Flyer,311528.5767955157
2021-10-29,FlyDubai,Chennai,Dubai,Business,First Flyer,326404.0860465174
2021-10-30,FlyDubai,Chennai,Dubai,Business,First Flyer,331152.96530038514
2021-10-31,FlyDubai,Chennai,Dubai,Business,First Flyer,349895.35363425646
2021-11-01,FlyDubai,Chennai,Dubai,Business,First Flyer,338024.14630301896
2021-11-02,FlyDubai,Chennai,Dubai,Business,First Flyer,348697.8539138566
2021-11-03,FlyDubai,Chennai,Dubai,Business,First Flyer,344657.7967713913
2021-11-04,FlyDubai,Chennai,Dubai,Business,First Flyer,312139.99937122164
2021-11-05,FlyDubai,Chennai,Dubai,Business,First Flyer,327015.5086221795
2021-11-06,FlyDubai,Chennai,Dubai,Business,First Flyer,331764.38787605945
2021-11-07,FlyDubai,Chennai,Dubai,Business,First Flyer,350506.77620994125
2021-11-08,FlyDubai,Chennai,Dubai,Business,First Flyer,338635.56887864077
2021-11-09,FlyDubai,Chennai,Dubai,Business,First Flyer,349309.2764895066
2021-11-10,FlyDubai,Chennai,Dubai,Business,First Flyer,345269.2193471313
2021-11-11,FlyDubai,Chennai,Dubai,Business,First Flyer,312751.42194689723
2021-11-12,FlyDubai,Chennai,Dubai,Business,First Flyer,327626.9311978673
2021-11-13,FlyDubai,Chennai,Dubai,Business,First Flyer,332375.8104517206
2021-11-14,FlyDubai,Chennai,Dubai,Business,First Flyer,351118.19878556987
2021-11-15,FlyDubai,Chennai,Dubai,Business,First Flyer,339246.9914543001
2021-11-16,FlyDubai,Chennai,Dubai,Business,First Flyer,349920.6990651566
2021-11-17,FlyDubai,Chennai,Dubai,Business,First Flyer,345880.6419227878
2021-11-18,FlyDubai,Chennai,Dubai,Business,First Flyer,313362.8445225003
2021-11-19,FlyDubai,Chennai,Dubai,Business,First Flyer,328238.35377352947
2021-11-20,FlyDubai,Chennai,Dubai,Business,First Flyer,332987.233027395
2021-11-21,FlyDubai,Chennai,Dubai,Business,First Flyer,351729.62136125466
2021-11-22,FlyDubai,Chennai,Dubai,Business,First Flyer,339858.41402992187
2021-11-23,FlyDubai,Chennai,Dubai,Business,First Flyer,350532.12164080644
2021-11-24,FlyDubai,Chennai,Dubai,Business,First Flyer,346492.06449839164
2021-11-25,FlyDubai,Chennai,Dubai,Business,First Flyer,313974.2670981759
2021-11-26,FlyDubai,Chennai,Dubai,Business,First Flyer,328849.7763491362
2021-11-27,FlyDubai,Chennai,Dubai,Business,First Flyer,333598.65560306935
2021-11-28,FlyDubai,Chennai,Dubai,Business,First Flyer,352341.043936903
2021-11-29,FlyDubai,Chennai,Dubai,Business,First Flyer,340469.83660564886
2021-11-30,FlyDubai,Chennai,Dubai,Business,First Flyer,351143.54421651474
2021-12-01,FlyDubai,Chennai,Dubai,Business,First Flyer,347103.4870741843
2021-12-02,FlyDubai,Chennai,Dubai,Business,First Flyer,314585.6896738514
2021-12-03,FlyDubai,Chennai,Dubai,Business,First Flyer,329461.1989248112
2021-12-04,FlyDubai,Chennai,Dubai,Business,First Flyer,334210.07817874366
